LAT	LON
-12.359722	124.269722
-21.9825	114.007222
-21.435	114.066389
-10.605278	125.994167
-19.590278	116.446389
-19.585561	116.136744
-19.585722	116.136778
-19.653453	115.928333
-19.498533	116.598031
-19.616667	116.408333
-19.556028	116.495917
-21.209444	-39.743333
-22.639561	-40.459719
-22.618558	-40.459719
-22.655097	-40.406519
-22.661661	-40.428286
-22.639561	-40.417064
-22.6525	-40.426111
4.708391	114.441981
4.95	114.067778
4.928889	114.141111
4.686917	114.150389
5.211111	114.741667
5.212821	114.741999
4.807271	113.962975
4.804524	113.972151
4.800844	113.976428
4.804235	113.971883
4.948962	114.068369
4.835979	114.069189
4.949833	114.068139
4.928626	114.143456
4.950938	114.067675
4.952328	114.105992
4.929197	114.144229
4.950796	114.068681
4.950278	114.068653
4.950298	114.074167
4.922286	114.124708
4.952654	114.106355
4.836327	114.069526
4.839924	114.065138
4.928941	114.14384
4.934251	114.140788
4.67837	114.127334
4.760818	114.172929
4.686944	114.149167
4.687139	114.149637
4.687712	114.149623
4.686548	114.150242
4.736389	114.131778
4.736819	114.175644
4.753306	114.184167
4.690861	114.125528
4.677222	114.141056
4.705	114.155667
4.707785	114.165251
4.766375	114.188167
4.768206	114.189036
4.652511	114.125426
4.766938	114.188564
4.751586	114.142514
4.769187	114.155223
5.210579	114.743813
5.239521	114.749153
4.686022	114.155081
4.739496	114.180633
4.649535	114.130093
4.727072	114.158256
4.671101	114.132645
4.754888	114.148443
4.781861	114.171722
4.688603	114.149451
4.776279	114.179141
4.744484	114.186036
4.68824	114.130643
4.677556	114.149982
4.675936	114.129985
4.674163	114.121139
4.709192	114.158665
4.712808	114.145867
4.765984	114.169601
4.776479	114.192136
4.766481	114.196544
4.76806	114.159508
4.675571	114.11371
4.739589	114.172526
4.751721	114.205485
5.011356	114.036611
5.011871	114.037
4.666456	114.382139
4.680391	114.388944
4.682564	114.409689
4.67253	114.392236
4.673002	114.392298
5.2875	114.718889
5.248671	114.752901
4.727473	114.153267
4.678784	114.127836
4.761223	114.172866
4.76679	114.189122
4.694281	114.141429
4.703233	114.159984
4.682255	114.123464
4.755788	114.178262
4.764311	114.194103
4.765586	114.159975
4.839888	114.067624
4.966501	114.120555
5.182222	114.742691
5.248929	114.752527
5.250614	114.74757
5.241559	114.752169
5.243456	114.754047
5.233217	114.747977
5.265051	114.731689
5.249312	114.752776
4.736611	114.175333
4.673239	114.381466
4.987667	114.203
5.196713	114.741821
4.727111	114.152944
4.664551	114.117711
4.75426	114.137411
4.647889	114.362811
5.240129	114.759504
5.218453	114.743919
5.257636	114.736594
5.197338	114.567534
4.668799	114.396434
4.67112	114.381318
4.675522	114.385673
4.680965	114.400879
4.676392	114.38698
4.67609	114.389488
4.681554	114.415602
4.651118	114.368841
4.665573	114.383701
4.657874	114.378345
4.667024	114.376011
4.623854	114.308573
4.622389	114.2845
4.635694	114.331469
4.663694	114.357639
4.618556	114.307306
4.615556	114.27775
4.674487	114.383833
4.948228	114.109689
5.178973	114.751859
5.210527	114.743002
5.234551	114.762872
5.198718	114.736884
4.653306	114.124389
4.666556	114.095611
4.830269	114.444567
5.209194	114.753222
5.161694	114.632139
5.100944	114.447417
5.087111	114.452694
5.226267	114.734501
5.210328	114.735139
5.209983	114.741938
5.216921	114.745461
5.224016	114.744157
5.220308	114.736358
5.198355	114.736568
5.184117	114.734268
5.241228	114.741531
5.239765	114.749674
5.231614	114.747854
5.231074	114.743687
5.235265	114.745583
5.229064	114.749709
5.186003	114.749983
5.188931	114.745475
5.199014	114.750387
5.189416	114.745862
5.19945	114.751081
5.234781	114.738608
5.211143	114.740919
5.210895	114.742409
5.211413	114.741824
5.213696	114.740629
5.212804	114.740622
5.211807	114.74035
5.211651	114.742739
5.210546	114.742158
5.212443	114.743008
5.205414	114.730403
5.214283	114.623891
4.843611	114.559444
5.138667	114.640361
4.703033	114.397725
5.2135	114.627028
5.330831	114.739417
5.161111	114.631944
5.188182	114.754694
5.10545	114.308794
4.736528	114.149444
5.111028	114.440486
5.101539	114.448198
5.10112	114.447796
5.099813	114.45349
4.760417	114.172917
4.769083	114.154833
4.674222	114.111583
4.762944	114.209278
4.674444	114.138111
4.652639	114.124861
4.750444	114.169583
4.751389	114.142222
4.693194	114.144333
4.67875	114.127639
4.707583	114.137611
4.769639	114.154556
4.777972	114.191417
4.692315	114.144138
4.706319	114.154732
4.7675	114.18825
4.692683	114.143637
4.692733	114.143241
4.706102	114.155267
4.705635	114.155386
4.987694	114.203
4.814771	113.967584
5.24948	114.752906
5.250723	114.761768
5.249288	114.752184
5.224393	114.745002
5.224453	114.744499
5.224943	114.744409
5.239371	114.749345
5.239066	114.749008
5.238579	114.749638
5.1529	114.649472
5.239639	114.74898
5.183668	114.728174
5.201857	114.74138
5.199121	114.736537
5.199329	114.750799
5.204636	114.764387
5.249021	114.756477
5.248686	114.756275
5.254193	114.757344
5.198206	114.759256
5.183598	114.755365
5.169894	114.753108
5.200714	114.769061
5.223619	114.755914
5.169989	114.767879
5.249799	114.72947
4.199854	8.423793
4.215752	8.417123
4.3125	8.666667
4.244783	8.657128
4.189863	8.469534
4.216667	8.383333
4.199498	8.445039
4.199443	8.470096
4.180872	8.479178
4.183663	8.414795
4.178417	8.406798
4.177833	8.396329
4.186531	8.390674
4.178782	8.407095
5.377778	111.863889
4.693203	113.924117
4.713222	113.957672
4.574631	113.823578
4.60832	113.642668
4.544722	113.615
4.547528	113.626361
4.547222	113.616667
6.346583	115.654417
6.333333	115.65
5.008333	105.255556
5.147222	111.818333
5.146193	111.821536
4.298056	113.8025
4.703403	113.938042
4.684167	113.852778
6.333333	115.666667
5.820056	104.189528
5.82975	104.159
5.829556	104.159056
5.840153	104.098983
3.238056	112.710556
3.247031	112.810164
3.243611	112.715
3.233333	112.7
3.238611	112.734444
3.245083	112.767403
3.233333	112.733333
3.251972	112.778139
4.4973	113.906094
4.491667	113.906667
4.486667	113.896667
4.498722	113.921389
6.333333	115.65
6.333333	115.65
6.333333	115.65
6.351306	115.681917
4.802683	113.968219
4.687814	113.931292
4.626667	104.81
5.209556	104.727222
6.119944	105.305608
4.639358	112.302697
